HUMAN DATE TIME,NODE TIME(SET),NODE TIME(SET),PITCH,LAT,LON,STRUCTURE HEIGHT,MODULE LENGTH,TIMEZONE,DEGREE DELTA,PWM DUTYCYCLE(%),VOLTAGE LIMIT,CURRENT LIMIT,NIGHT STOWINGANGLE,NUMBER OF ROWS,WIND,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED
Thu Sep 7 00:59:42 2017,22960,19622,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19622,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19622,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19622,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19622,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,19622,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 00:59:42 2017,22960,19622,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19622,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19622,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19622,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19622,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,19622,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 01:03:43 2017,22960,19863,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19863,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19863,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19863,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19863,17800,50,114,2700,17750,22959,62935,0,0,0,87,158,22960,19863,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:03:43 2017,22960,19863,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19863,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19863,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19863,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19863,17800,50,114,2700,17750,22959,62935,0,0,0,87,158,22960,19863,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:07:44 2017,22960,20104,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20104,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,20104,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,20104,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20104,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,20104,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:07:44 2017,22960,20104,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20104,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,20104,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,20104,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20104,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,20104,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:11:44 2017,22960,20344,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20344,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,20344,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,20344,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,20344,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,20344,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:11:44 2017,22960,20344,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20344,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,20344,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,20344,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,20344,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,20344,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:15:45 2017,22960,20585,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20585,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,20585,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,20585,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20585,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,20585,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 01:15:45 2017,22960,20585,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20585,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,20585,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,20585,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20585,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,20585,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 01:19:46 2017,22960,20826,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20826,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,20826,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,20826,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20826,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,20826,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 01:19:46 2017,22960,20826,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,20826,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,20826,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,20826,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,20826,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,20826,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 01:23:47 2017,22960,21067,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,21067,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,21067,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,21067,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,21067,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,21067,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:23:47 2017,22960,21067,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,21067,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,21067,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,21067,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,21067,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,21067,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 01:27:48 2017,22960,21308,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,21308,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,21308,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,21308,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,21308,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,21308,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
