HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Thu Sep 7 08:53:16 2017,211,138,48,57,70
Thu Sep 7 08:53:16 2017,211,138,48,57,70
Thu Sep 7 08:57:17 2017,211,138,48,57,70
Thu Sep 7 08:57:17 2017,211,138,48,57,70
Thu Sep 7 09:01:17 2017,211,138,48,57,70
Thu Sep 7 09:01:17 2017,211,138,48,57,70
Thu Sep 7 09:05:18 2017,211,138,48,57,70
Thu Sep 7 09:05:18 2017,211,138,48,57,70
Thu Sep 7 09:09:18 2017,211,138,48,57,70
Thu Sep 7 09:09:18 2017,211,138,48,57,70
Thu Sep 7 09:13:19 2017,211,138,48,57,70
Thu Sep 7 09:13:19 2017,211,138,48,57,70
Thu Sep 7 09:17:19 2017,211,138,48,57,70
Thu Sep 7 09:17:19 2017,211,138,48,57,70
Thu Sep 7 09:21:20 2017,211,138,48,57,70
Thu Sep 7 09:21:20 2017,211,138,48,57,70
Thu Sep 7 09:25:20 2017,211,138,48,57,70
Thu Sep 7 09:25:20 2017,211,138,48,57,70
Thu Sep 7 09:29:20 2017,211,138,48,57,70
Thu Sep 7 09:29:20 2017,211,138,48,57,70
Thu Sep 7 09:33:21 2017,211,138,48,57,70
Thu Sep 7 09:33:21 2017,211,138,48,57,70
Thu Sep 7 09:37:21 2017,211,138,48,57,70
Thu Sep 7 09:37:21 2017,211,138,48,57,70
Thu Sep 7 09:41:22 2017,211,138,48,57,70
Thu Sep 7 09:41:22 2017,211,138,48,57,70
Thu Sep 7 09:45:22 2017,211,138,48,57,70
Thu Sep 7 09:45:22 2017,211,138,48,57,70
Thu Sep 7 09:49:23 2017,251,138,48,131,259
Thu Sep 7 09:49:23 2017,251,138,48,131,259
Thu Sep 7 09:53:23 2017,251,331,154,131,259
Thu Sep 7 09:53:23 2017,251,331,154,131,259
Thu Sep 7 09:57:23 2017,251,331,154,147,348
Thu Sep 7 09:57:23 2017,251,331,154,147,348
Thu Sep 7 09:57:23 2017,251,331,154,147,348
Thu Sep 7 09:57:23 2017,251,331,154,147,348
Thu Sep 7 10:05:24 2017,274,406,192,170,348
Thu Sep 7 10:05:24 2017,274,406,192,170,348
Thu Sep 7 10:09:24 2017,261,406,210,170,386
Thu Sep 7 10:09:24 2017,261,406,210,170,386
Thu Sep 7 10:13:25 2017,261,441,210,171,386
Thu Sep 7 10:13:25 2017,261,441,210,171,386
Thu Sep 7 10:17:25 2017,260,441,210,171,375
Thu Sep 7 10:17:25 2017,260,441,210,171,375
Thu Sep 7 10:21:25 2017,260,447,221,171,375
Thu Sep 7 10:21:25 2017,260,447,221,171,375
Thu Sep 7 10:25:26 2017,260,447,221,157,349
Thu Sep 7 10:25:26 2017,260,447,221,157,349
Thu Sep 7 10:29:26 2017,233,428,200,172,349
Thu Sep 7 10:29:26 2017,233,428,200,172,349
Thu Sep 7 10:33:26 2017,233,428,200,172,330
Thu Sep 7 10:33:26 2017,233,428,200,172,330
Thu Sep 7 10:37:27 2017,224,428,182,159,330
Thu Sep 7 10:37:27 2017,224,428,182,159,330
Thu Sep 7 10:41:27 2017,224,423,182,159,334
Thu Sep 7 10:41:27 2017,224,423,182,159,334
Thu Sep 7 10:45:27 2017,208,423,182,166,334
Thu Sep 7 10:45:27 2017,208,423,182,166,334
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 10:49:28 2017,208,418,182,166,314
Thu Sep 7 11:01:28 2017,213,399,163,142,300
Thu Sep 7 11:01:28 2017,213,399,163,142,300
Thu Sep 7 11:05:29 2017,197,399,156,145,300
Thu Sep 7 11:05:29 2017,197,399,156,145,300
Thu Sep 7 11:09:29 2017,197,390,156,145,298
Thu Sep 7 11:09:29 2017,197,390,156,145,298
Thu Sep 7 11:13:29 2017,186,390,159,142,298
Thu Sep 7 11:13:29 2017,186,390,159,142,298
Thu Sep 7 11:17:30 2017,186,388,159,142,279
Thu Sep 7 11:17:30 2017,186,388,159,142,279
Thu Sep 7 11:21:30 2017,164,388,140,145,279
Thu Sep 7 11:21:30 2017,164,388,140,145,279
Thu Sep 7 11:25:30 2017,164,356,140,145,275
Thu Sep 7 11:25:30 2017,164,356,140,145,275
Thu Sep 7 11:25:30 2017,164,356,140,145,275
Thu Sep 7 11:25:30 2017,164,356,140,145,275
Thu Sep 7 11:33:31 2017,164,345,136,127,275
Thu Sep 7 11:33:31 2017,164,345,136,127,275
Thu Sep 7 11:37:31 2017,164,345,136,132,251
Thu Sep 7 11:37:31 2017,164,345,136,132,251
Thu Sep 7 11:41:31 2017,151,349,127,132,251
Thu Sep 7 11:41:31 2017,151,349,127,132,251
Thu Sep 7 11:45:32 2017,151,349,127,121,235
Thu Sep 7 11:45:32 2017,151,349,127,121,235
Thu Sep 7 11:49:32 2017,142,331,126,121,235
Thu Sep 7 11:49:32 2017,142,331,126,121,235
Thu Sep 7 11:53:32 2017,142,331,126,113,230
Thu Sep 7 11:53:32 2017,142,331,126,113,230
Thu Sep 7 11:57:32 2017,144,331,126,113,230
Thu Sep 7 11:57:32 2017,144,331,126,113,230
Thu Sep 7 11:57:32 2017,144,331,126,113,230
Thu Sep 7 11:57:32 2017,144,331,126,113,230
Thu Sep 7 12:05:33 2017,133,316,108,107,212
Thu Sep 7 12:05:33 2017,133,316,108,107,212
Thu Sep 7 12:09:33 2017,133,316,115,107,199
Thu Sep 7 12:09:33 2017,133,316,115,107,199
Thu Sep 7 12:13:34 2017,133,304,115,98,199
Thu Sep 7 12:13:34 2017,133,304,115,98,199
Thu Sep 7 12:17:34 2017,119,304,103,98,183
Thu Sep 7 12:17:34 2017,119,304,103,98,183
Thu Sep 7 12:21:34 2017,123,293,103,99,183
Thu Sep 7 12:21:34 2017,123,293,103,99,183
Thu Sep 7 12:25:35 2017,123,293,108,99,176
Thu Sep 7 12:25:35 2017,123,293,108,99,176
Thu Sep 7 12:29:35 2017,123,276,108,107,176
Thu Sep 7 12:29:35 2017,123,276,108,107,176
Thu Sep 7 12:33:35 2017,113,276,108,107,176
Thu Sep 7 12:33:35 2017,113,276,108,107,176
Thu Sep 7 12:37:36 2017,113,264,93,86,171
Thu Sep 7 12:37:36 2017,113,264,93,86,171
Thu Sep 7 12:41:36 2017,113,264,93,86,171
Thu Sep 7 12:41:36 2017,113,264,93,86,171
Thu Sep 7 12:45:36 2017,113,264,93,86,171
Thu Sep 7 12:45:36 2017,113,264,93,86,171
Thu Sep 7 12:49:37 2017,88,237,92,92,139
Thu Sep 7 12:49:37 2017,88,237,92,92,139
Thu Sep 7 12:53:37 2017,88,237,92,92,139
Thu Sep 7 12:53:37 2017,88,237,92,92,139
Thu Sep 7 12:57:37 2017,88,217,77,84,123
Thu Sep 7 12:57:37 2017,88,217,77,84,123
Thu Sep 7 13:01:37 2017,63,217,77,84,123
Thu Sep 7 13:01:37 2017,63,217,77,84,123
Thu Sep 7 13:05:38 2017,63,210,82,79,96
Thu Sep 7 13:05:38 2017,63,210,82,79,96
Thu Sep 7 13:09:38 2017,63,210,82,79,96
Thu Sep 7 13:09:38 2017,63,210,82,79,96
Thu Sep 7 13:13:38 2017,73,210,82,60,106
Thu Sep 7 13:13:38 2017,73,210,82,60,106
Thu Sep 7 13:17:38 2017,73,195,65,60,106
Thu Sep 7 13:17:38 2017,73,195,65,60,106
Thu Sep 7 13:21:39 2017,64,195,65,62,76
Thu Sep 7 13:21:39 2017,64,195,65,62,76
Thu Sep 7 13:25:39 2017,64,176,56,62,76
Thu Sep 7 13:25:39 2017,64,176,56,62,76
Thu Sep 7 13:29:39 2017,64,176,56,57,76
Thu Sep 7 13:29:39 2017,64,176,56,57,76
Thu Sep 7 13:33:39 2017,58,162,56,57,76
Thu Sep 7 13:33:39 2017,58,162,56,57,76
Thu Sep 7 13:37:40 2017,58,162,53,53,76
Thu Sep 7 13:37:40 2017,58,162,53,53,76
