HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Tue Oct 10 10:14:42 2017,294,782,212,171,369
Tue Oct 10 10:14:42 2017,294,782,212,171,369
Tue Oct 10 10:18:42 2017,256,782,220,165,375
Tue Oct 10 10:18:42 2017,256,782,220,165,375
Tue Oct 10 10:22:42 2017,256,782,204,165,375
Tue Oct 10 10:22:42 2017,256,782,204,165,375
Tue Oct 10 10:26:43 2017,249,782,204,160,346
Tue Oct 10 10:26:43 2017,249,782,204,160,346
Tue Oct 10 10:30:43 2017,249,782,182,160,346
Tue Oct 10 10:30:43 2017,249,782,182,160,346
Tue Oct 10 10:34:43 2017,248,782,182,148,341
Tue Oct 10 10:34:43 2017,248,782,182,148,341
Tue Oct 10 10:38:44 2017,248,782,199,148,338
Tue Oct 10 10:38:44 2017,248,782,199,148,338
Tue Oct 10 10:42:44 2017,228,782,199,152,338
Tue Oct 10 10:42:44 2017,228,782,199,152,338
Tue Oct 10 10:46:44 2017,228,782,192,152,338
Tue Oct 10 10:46:44 2017,228,782,192,152,338
Tue Oct 10 10:50:45 2017,228,782,177,160,339
Tue Oct 10 10:50:45 2017,228,782,177,160,339
Tue Oct 10 10:54:45 2017,223,782,177,160,339
Tue Oct 10 10:54:45 2017,223,782,177,160,339
Tue Oct 10 10:58:46 2017,198,782,169,148,329
Tue Oct 10 10:58:46 2017,198,782,169,148,329
Tue Oct 10 10:58:46 2017,198,782,169,148,329
Tue Oct 10 10:58:46 2017,198,782,169,148,329
Tue Oct 10 11:06:46 2017,203,782,170,140,318
Tue Oct 10 11:06:46 2017,203,782,170,140,318
Tue Oct 10 11:10:47 2017,203,782,148,135,288
Tue Oct 10 11:10:47 2017,203,782,148,135,288
Tue Oct 10 11:14:47 2017,185,782,148,135,288
Tue Oct 10 11:14:47 2017,185,782,148,135,288
Tue Oct 10 11:18:47 2017,185,782,141,135,288
Tue Oct 10 11:18:47 2017,185,782,141,135,288
Tue Oct 10 11:22:48 2017,180,782,141,134,279
Tue Oct 10 11:22:48 2017,180,782,141,134,279
Tue Oct 10 11:26:48 2017,180,782,132,141,279
Tue Oct 10 11:26:48 2017,180,782,132,141,279
Tue Oct 10 11:30:48 2017,170,782,132,141,262
Tue Oct 10 11:30:48 2017,170,782,132,141,262
Tue Oct 10 11:34:49 2017,170,782,146,124,249
Tue Oct 10 11:34:49 2017,170,782,146,124,249
Tue Oct 10 11:38:49 2017,151,782,132,124,249
Tue Oct 10 11:38:49 2017,151,782,132,124,249
Tue Oct 10 11:42:49 2017,151,782,132,119,262
Tue Oct 10 11:42:49 2017,151,782,132,119,262
Tue Oct 10 11:46:50 2017,157,782,127,101,262
Tue Oct 10 11:46:50 2017,157,782,127,101,262
Tue Oct 10 11:46:50 2017,157,782,127,101,262
Tue Oct 10 11:46:50 2017,157,782,127,101,262
Tue Oct 10 11:54:51 2017,145,782,119,101,245
Tue Oct 10 11:54:51 2017,145,782,119,101,245
Tue Oct 10 11:58:51 2017,145,782,119,121,236
Tue Oct 10 11:58:51 2017,145,782,119,121,236
Tue Oct 10 12:02:51 2017,141,782,96,121,236
Tue Oct 10 12:02:51 2017,141,782,96,121,236
Tue Oct 10 12:06:52 2017,141,782,96,90,213
Tue Oct 10 12:06:52 2017,141,782,96,90,213
Tue Oct 10 12:10:52 2017,141,782,114,90,212
Tue Oct 10 12:10:52 2017,141,782,114,90,212
Tue Oct 10 12:14:52 2017,121,782,114,87,212
Tue Oct 10 12:14:52 2017,121,782,114,87,212
Tue Oct 10 12:18:52 2017,121,782,107,87,185
Tue Oct 10 12:18:52 2017,121,782,107,87,185
Tue Oct 10 12:22:53 2017,121,782,107,89,185
Tue Oct 10 12:22:53 2017,121,782,107,89,185
Tue Oct 10 12:26:53 2017,127,782,84,97,172
Tue Oct 10 12:26:53 2017,127,782,84,97,172
Tue Oct 10 12:30:53 2017,127,782,84,97,172
Tue Oct 10 12:30:53 2017,127,782,84,97,172
Tue Oct 10 12:34:53 2017,127,782,89,100,139
Tue Oct 10 12:34:53 2017,127,782,89,100,139
Tue Oct 10 12:38:54 2017,94,782,89,100,139
Tue Oct 10 12:38:54 2017,94,782,89,100,139
Tue Oct 10 12:42:54 2017,94,782,80,93,133
Tue Oct 10 12:42:54 2017,94,782,80,93,133
Tue Oct 10 12:46:54 2017,85,782,80,93,133
Tue Oct 10 12:46:54 2017,85,782,80,93,133
Tue Oct 10 12:50:54 2017,85,782,64,81,125
Tue Oct 10 12:50:54 2017,85,782,64,81,125
Tue Oct 10 12:54:55 2017,85,782,64,81,108
Tue Oct 10 12:54:55 2017,85,782,64,81,108
Tue Oct 10 12:58:55 2017,84,782,62,74,108
Tue Oct 10 12:58:55 2017,84,782,62,74,108
Tue Oct 10 13:02:55 2017,84,782,62,74,90
Tue Oct 10 13:02:55 2017,84,782,62,74,90
Tue Oct 10 13:02:55 2017,84,782,62,74,90
Tue Oct 10 13:02:55 2017,84,782,62,74,90
Tue Oct 10 13:10:55 2017,59,782,58,58,79
Tue Oct 10 13:10:55 2017,59,782,58,58,79
Tue Oct 10 13:14:55 2017,59,782,50,60,79
Tue Oct 10 13:14:55 2017,59,782,50,60,79
Tue Oct 10 13:18:56 2017,58,782,50,48,80
Tue Oct 10 13:18:56 2017,58,782,50,48,80
Tue Oct 10 13:22:56 2017,58,782,49,48,65
Tue Oct 10 13:22:56 2017,58,782,49,48,65
Tue Oct 10 13:26:56 2017,48,782,49,48,65
Tue Oct 10 13:26:56 2017,48,782,49,48,65
Tue Oct 10 13:30:56 2017,48,782,51,35,60
Tue Oct 10 13:30:56 2017,48,782,51,35,60
Tue Oct 10 13:34:56 2017,48,782,51,35,60
Tue Oct 10 13:34:56 2017,48,782,51,35,60
Tue Oct 10 13:38:57 2017,48,782,54,53,80
Tue Oct 10 13:38:57 2017,48,782,54,53,80
Tue Oct 10 13:42:57 2017,48,782,54,53,80
Tue Oct 10 13:42:57 2017,48,782,54,53,80
Tue Oct 10 13:46:57 2017,48,782,47,51,80
Tue Oct 10 13:46:57 2017,48,782,47,51,80
Tue Oct 10 13:50:57 2017,57,782,47,51,87
Tue Oct 10 13:50:57 2017,57,782,47,51,87
Tue Oct 10 13:54:57 2017,57,782,42,52,87
Tue Oct 10 13:54:57 2017,57,782,42,52,87
Tue Oct 10 13:58:57 2017,57,782,43,52,96
Tue Oct 10 13:58:57 2017,57,782,43,52,96
Tue Oct 10 14:02:57 2017,57,782,43,52,96
Tue Oct 10 14:02:57 2017,57,782,43,52,96
Tue Oct 10 14:06:57 2017,50,782,43,62,110
Tue Oct 10 14:06:57 2017,50,782,43,62,110
Tue Oct 10 14:10:57 2017,50,782,64,62,110
Tue Oct 10 14:10:57 2017,50,782,64,62,110
Tue Oct 10 14:14:57 2017,49,782,50,47,109
Tue Oct 10 14:14:57 2017,49,782,50,47,109
Tue Oct 10 14:18:58 2017,49,782,50,47,124
Tue Oct 10 14:18:58 2017,49,782,50,47,124
Tue Oct 10 14:22:58 2017,65,782,60,47,124
Tue Oct 10 14:22:58 2017,65,782,60,47,124
Tue Oct 10 14:26:58 2017,65,782,60,47,129
Tue Oct 10 14:26:58 2017,65,782,60,47,129
Tue Oct 10 14:30:58 2017,65,782,65,48,129
Tue Oct 10 14:30:58 2017,65,782,65,48,129
Tue Oct 10 14:30:58 2017,65,782,65,48,129
Tue Oct 10 14:30:58 2017,65,782,65,48,129
Tue Oct 10 14:38:58 2017,61,782,65,48,132
Tue Oct 10 14:38:58 2017,61,782,65,48,132
Tue Oct 10 14:42:58 2017,61,782,73,64,132
Tue Oct 10 14:42:58 2017,61,782,73,64,132
Tue Oct 10 14:46:58 2017,63,782,73,64,148
Tue Oct 10 14:46:58 2017,63,782,73,64,148
Tue Oct 10 14:50:58 2017,63,782,66,56,148
Tue Oct 10 14:50:58 2017,63,782,66,56,148
Tue Oct 10 14:54:58 2017,63,782,66,56,161
Tue Oct 10 14:54:58 2017,63,782,66,56,161
Tue Oct 10 14:58:58 2017,60,782,62,41,161
Tue Oct 10 14:58:58 2017,60,782,62,41,161
Tue Oct 10 15:02:58 2017,60,782,62,41,161
Tue Oct 10 15:02:58 2017,60,782,62,41,161
Tue Oct 10 15:06:58 2017,60,782,62,41,161
Tue Oct 10 15:06:58 2017,60,782,62,41,161
Tue Oct 10 15:10:58 2017,60,782,62,41,161
Tue Oct 10 15:10:58 2017,60,782,62,41,161
Tue Oct 10 15:14:58 2017,60,782,62,41,161
Tue Oct 10 15:14:58 2017,60,782,62,41,161
Tue Oct 10 15:18:59 2017,60,782,62,41,161
Tue Oct 10 15:18:59 2017,60,782,62,41,161
Tue Oct 10 15:22:59 2017,60,782,62,41,161
Tue Oct 10 15:22:59 2017,60,782,62,41,161
Tue Oct 10 15:26:59 2017,60,782,62,41,161
Tue Oct 10 15:26:59 2017,60,782,62,41,161
Tue Oct 10 15:30:59 2017,60,782,62,41,161
Tue Oct 10 15:30:59 2017,60,782,62,41,161
Tue Oct 10 15:34:59 2017,60,782,62,41,161
Tue Oct 10 15:34:59 2017,60,782,62,41,161
Tue Oct 10 15:38:59 2017,60,782,62,41,161
Tue Oct 10 15:38:59 2017,60,782,62,41,161
Tue Oct 10 15:42:59 2017,60,782,62,41,161
Tue Oct 10 15:42:59 2017,60,782,62,41,161
Tue Oct 10 15:46:59 2017,60,782,62,41,161
Tue Oct 10 15:46:59 2017,60,782,62,41,161
Tue Oct 10 15:50:59 2017,60,782,62,41,161
Tue Oct 10 15:50:59 2017,60,782,62,41,161
Tue Oct 10 15:55:00 2017,60,782,62,41,161
Tue Oct 10 15:55:00 2017,60,782,62,41,161
Tue Oct 10 15:59:00 2017,60,782,62,41,161
Tue Oct 10 15:59:00 2017,60,782,62,41,161
Tue Oct 10 16:03:00 2017,60,782,62,41,161
Tue Oct 10 16:03:00 2017,60,782,62,41,161
Tue Oct 10 16:07:00 2017,60,782,62,41,161
Tue Oct 10 16:07:00 2017,60,782,62,41,161
Tue Oct 10 16:11:00 2017,60,782,62,41,161
Tue Oct 10 16:11:00 2017,60,782,62,41,161
Tue Oct 10 16:15:00 2017,60,782,62,41,161
Tue Oct 10 16:15:00 2017,60,782,62,41,161
Tue Oct 10 16:19:00 2017,60,782,62,41,161
Tue Oct 10 16:19:00 2017,60,782,62,41,161
Tue Oct 10 16:23:00 2017,288,782,183,199,341
Tue Oct 10 16:23:00 2017,288,782,183,199,341
Tue Oct 10 16:27:01 2017,359,782,236,264,449
Tue Oct 10 16:27:01 2017,359,782,236,264,449
Tue Oct 10 16:31:01 2017,364,782,241,238,487
Tue Oct 10 16:31:01 2017,364,782,241,238,487
Tue Oct 10 16:35:01 2017,343,782,221,247,487
Tue Oct 10 16:35:01 2017,343,782,221,247,487
Tue Oct 10 16:35:01 2017,343,782,221,247,487
Tue Oct 10 16:35:01 2017,343,782,221,247,487
Tue Oct 10 16:43:02 2017,335,782,206,211,480
Tue Oct 10 16:43:02 2017,335,782,206,211,480
Tue Oct 10 16:47:02 2017,345,782,206,227,429
Tue Oct 10 16:47:02 2017,345,782,206,227,429
Tue Oct 10 16:51:02 2017,324,782,188,206,428
Tue Oct 10 16:51:02 2017,324,782,188,206,428
Tue Oct 10 16:55:02 2017,324,782,196,206,410
Tue Oct 10 16:55:02 2017,324,782,196,206,410
Tue Oct 10 16:59:03 2017,302,782,196,188,410
Tue Oct 10 16:59:03 2017,302,782,196,188,410
Tue Oct 10 17:03:03 2017,281,782,176,196,406
Tue Oct 10 17:03:03 2017,281,782,176,196,406
Tue Oct 10 17:07:03 2017,281,782,176,196,381
Tue Oct 10 17:07:03 2017,281,782,176,196,381
Tue Oct 10 17:11:04 2017,296,782,158,183,381
Tue Oct 10 17:11:04 2017,296,782,158,183,381
Tue Oct 10 17:15:04 2017,296,782,158,183,354
Tue Oct 10 17:15:04 2017,296,782,158,183,354
Tue Oct 10 17:19:04 2017,280,782,163,179,354
Tue Oct 10 17:19:04 2017,280,782,163,179,354
Tue Oct 10 17:23:05 2017,275,782,159,162,328
Tue Oct 10 17:23:05 2017,275,782,159,162,328
Tue Oct 10 17:27:05 2017,275,782,159,162,328
Tue Oct 10 17:27:05 2017,275,782,159,162,328
Tue Oct 10 17:31:05 2017,247,782,149,155,303
Tue Oct 10 17:31:05 2017,247,782,149,155,303
Tue Oct 10 17:35:06 2017,247,782,149,156,303
Tue Oct 10 17:35:06 2017,247,782,149,156,303
Tue Oct 10 17:39:06 2017,249,782,137,156,273
Tue Oct 10 17:39:06 2017,249,782,137,156,273
Tue Oct 10 17:43:07 2017,249,782,137,145,273
Tue Oct 10 17:43:07 2017,249,782,137,145,273
Tue Oct 10 17:47:07 2017,236,782,128,145,242
Tue Oct 10 17:47:07 2017,236,782,128,145,242
Tue Oct 10 17:51:08 2017,236,782,128,133,242
Tue Oct 10 17:51:08 2017,236,782,128,133,242
Tue Oct 10 17:55:08 2017,224,782,129,133,241
Tue Oct 10 17:55:08 2017,224,782,129,133,241
Tue Oct 10 17:55:08 2017,224,782,129,133,241
Tue Oct 10 17:55:08 2017,224,782,129,133,241
Tue Oct 10 18:03:09 2017,201,782,112,116,224
Tue Oct 10 18:03:09 2017,201,782,112,116,224
Tue Oct 10 18:07:10 2017,201,782,109,122,218
Tue Oct 10 18:07:10 2017,201,782,109,122,218
Tue Oct 10 18:11:10 2017,196,782,120,103,203
Tue Oct 10 18:11:10 2017,196,782,120,103,203
Tue Oct 10 18:15:11 2017,196,782,120,103,203
